GCA_000403435	s__Oscillibacter sp000403435	species__Oscillibacter sp000403435	species	Oscillibacter sp000403435	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp000403435
31664_4#113	s__Oscillibacter sp000403435	species__Oscillibacter sp000403435	species	Oscillibacter sp000403435	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp000403435
ERR1212032	s__Intestinimonas butyriciproducens	species__Intestinimonas butyriciproducens	species	Intestinimonas butyriciproducens	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas butyriciproducens
GCA_000492175	s__Lawsonibacter sp000492175	species__Lawsonibacter sp000492175	species	Lawsonibacter sp000492175	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp000492175
GCA_003612335	s__Lawsonibacter sp003612335	species__Lawsonibacter sp003612335	species	Lawsonibacter sp003612335	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp003612335
GCA_000364225	s__Eubacterium_J plexicaudatum	species__Eubacterium_J plexicaudatum	species	Eubacterium_J plexicaudatum	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J plexicaudatum
GCA_000403255	s__14-2 sp000403255	species__14-2 sp000403255	species	14-2 sp000403255	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403255
GCA_000403315	s__14-2 sp000403315	species__14-2 sp000403315	species	14-2 sp000403315	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315
GCA_004793545	s__14-2 sp004793545	species__14-2 sp004793545	species	14-2 sp004793545	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp004793545
GCA_000403845	s__14-2 sp000403845	species__14-2 sp000403845	species	14-2 sp000403845	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403845
ERR1212011	s__Clostridium_Q symbiosum	species__Clostridium_Q symbiosum	species	Clostridium_Q symbiosum	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q symbiosum
